"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Hyun-Jin Ryu","Dodgers","14","5","2.32","29","29","1","1","0","0","0","182.2","723","160","53","47","17","24","2","4","0","0","163","14444"
"Jacob deGrom","Mets","11","8","2.43","32","32","0","0","0","0","0","204.0","804","154","59","55","19","44","1","7","2","0","255","10954"
"Gerrit Cole","Astros","20","5","2.50","33","33","0","0","0","0","0","212.1","817","142","66","59","29","48","0","3","4","3","326","13125"
"Justin Verlander","Astros","21","6","2.58","34","34","2","1","0","0","0","223.0","847","137","66","64","36","42","0","6","4","0","300","8700"
"Mike Soroka","Braves","13","4","2.68","29","29","0","0","0","0","0","174.2","701","153","56","52","14","41","1","7","3","0","142","18383"
"Jack Flaherty","Cardinals","11","8","2.75","33","33","0","0","0","0","0","196.1","772","135","62","60","25","55","2","7","6","0","231","17479"
"Sonny Gray","Reds","11","8","2.87","31","31","0","0","0","0","0","175.1","708","122","59","56","17","68","1","7","7","1","205","12768"
"Max Scherzer","Nationals","11","7","2.92","27","27","0","0","0","0","0","172.1","693","144","59","56","18","33","2","7","0","0","243","3137"
"Zack Greinke","- - -","18","5","2.93","33","33","0","0","0","0","0","208.2","810","175","73","68","21","30","2","4","2","1","187","1943"
"Clayton Kershaw","Dodgers","16","5","3.05","28","28","0","0","0","0","0","177.1","703","145","63","60","28","41","0","2","7","1","188","2036"
"Charlie Morton","Rays","16","6","3.05","33","33","0","0","0","0","0","194.2","790","154","71","66","15","57","0","12","5","1","240","4676"
"Marcus Stroman","- - -","10","13","3.22","32","32","0","0","0","0","0","184.1","774","183","77","66","18","58","1","1","7","0","159","13431"
"Patrick Corbin","Nationals","14","7","3.25","33","33","1","1","0","0","0","202.0","835","169","81","73","24","70","2","3","4","0","238","9323"
"Walker Buehler","Dodgers","14","4","3.26","30","30","2","0","0","0","0","182.1","737","153","77","66","20","37","0","7","4","0","215","19374"
"Shane Bieber","Indians","15","8","3.26","33","33","3","2","0","0","0","212.1","851","184","85","77","31","40","1","5","6","1","257","19427"
"Stephen Strasburg","Nationals","18","6","3.32","33","33","0","0","0","0","0","209.0","841","161","79","77","24","56","4","10","8","0","251","10131"
"Dakota Hudson","Cardinals","16","7","3.36","32","32","0","0","0","0","0","174.0","754","160","80","65","22","85","8","9","5","0","136","19206"
"Luis Castillo","Reds","15","8","3.40","32","32","0","0","0","0","0","190.2","781","139","76","72","22","79","0","7","5","3","226","15689"
"Lucas Giolito","White Sox","14","9","3.41","29","29","3","2","0","0","0","176.2","705","131","69","67","24","57","1","4","6","0","228","15474"
"Kyle Hendricks","Cubs","11","10","3.46","30","30","1","1","0","0","0","177.0","730","168","78","68","19","32","1","9","1","0","150","12049"
"Jeff Samardzija","Giants","11","12","3.52","32","32","0","0","0","0","0","181.1","740","152","78","71","28","49","4","6","5","0","140","3254"
"Mike Minor","Rangers","14","10","3.59","32","32","2","1","0","0","0","208.1","863","190","86","83","30","68","1","7","2","0","200","10021"
"Lance Lynn","Rangers","16","11","3.67","33","33","0","0","0","0","0","208.1","875","195","89","85","21","59","0","8","18","0","246","2520"
"Jose Berrios","Twins","14","8","3.68","32","32","1","0","0","0","0","200.1","842","194","94","82","26","51","0","9","8","1","195","14168"
"Eduardo Rodriguez","Red Sox","19","6","3.81","34","34","0","0","0","0","0","203.1","859","195","88","86","24","75","2","7","3","0","213","13164"
"Julio Teheran","Braves","10","11","3.81","33","33","0","0","0","0","0","174.2","754","148","81","74","22","83","3","14","5","1","162","6797"
"Anibal Sanchez","Nationals","11","8","3.85","30","30","0","0","0","0","0","166.0","712","153","77","71","22","58","10","4","1","3","134","3284"
"Aaron Nola","Phillies","12","7","3.87","34","34","0","0","0","0","0","202.1","852","176","91","87","27","80","3","11","3","0","229","16149"
"Sandy Alcantara","Marlins","6","14","3.88","32","32","2","2","0","0","0","197.1","838","179","94","85","23","81","5","8","4","1","151","18684"
"Brett Anderson","Athletics","13","9","3.89","31","31","0","0","0","0","0","176.0","743","181","80","76","20","49","2","4","4","0","90","8223"
"Anthony DeSclafani","Reds","9","9","3.89","31","31","0","0","0","0","0","166.2","696","151","77","72","29","49","5","4","2","1","167","13050"
